"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Congo, Rep.","COG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.9907112121582","46.9310417175293","47.8700408935547","48.8146629333496","49.7718467712402","50.7999992370605","51.749584197998","52.7713928222656","53.8082847595215","53.5999984741211","56.9413528442383","58.0518646240234","58.9000015258789","59.9949722290039","60.7423439025879","61.5341987609863","62.5365905761719","63.5681076049805","64.4184799194336","65.1094284057617","66.0050735473633","","",
"Colombia","COL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.9","98.7059326171875","98.8057022094727","98.9023056030273","98.9925918579102","99.2","99.1415786743164","99.1939544677734","99.2273712158203","99.2403564453125","99.4000015258789","99.9100036621094","99.1968688964844","99.1884613037109","99.192626953125","99.3000030517578","99.2643203735352","99.3331069946289","99.7132797241211","99.607048034668","99.7714767456055","99.7885055541992","99.7261047363281","99.8202285766602","99.8383636474609","99.8097152709961","99.8000030517578","99.9000015258789","99.9000015258789","100","100","","",
"Comoros","COM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.8","59.0517616271973","60.8158149719238","62.5594367980957","64.320915222168","66.0304183959961","74.5999984741211","69.4523849487305","71.1787414550781","72.9246139526367","74.69482421875","76.4858093261719","78.291877746582","80.1073379516602","84.86328125","84.9118728637695","85.0999984741211","87.3506546020508","89.1366500854492","90.9131011962891","92.6819229125977","94.4450225830078","96.2043151855469","97.9616928100586","99.71875","","",
"Cabo Verde","CPV","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.8611450195313","82.4319915771484","81.2749404907227","83.57666015625","84.1643676757813","85","85.4031524658203","86.0554885864258","86.7229080200195","87.3997116088867","90.6207046508789","91.0970916748047","91.5009231567383","91.7658004760742","91.8759689331055","92.0306243896484","92.3958206176758","92.7901382446289","93.2488327026367","93.5","94.4859771728516","","",
"Costa Rica","CRI","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8000030517578","99.8741073608398","99.8634643554688","99.8825454711914","99.8470687866211","99.8946151733398","99.930419921875","99.9171524047852","99.9240951538086","99.9299240112305","99.7464370727539","99.964485168457","99.9833679199219","99.9399490356445","99.7048034667969","99.9299240112305","99.8000030517578","99.8000030517578","99.9000015258789","99.9199981689453","99.9400024414063","","",
"Caribbean small states","CSS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.9159426956232","94.7065175721331","95.4595932390574","95.4328693567508","95.3371036577062","95.5467371075805","95.3878997600088","95.5990303321915","96.3561023828077","98.5277322823541","97.0555727903601","97.1915973589019","97.6983843419503","98.0233666187243","97.7783920774238","97.8813093120834","98.4314654230686","99.1853676242725","99.4131095986243","99.5511296644234","99.613564071221","99.6329689820134","","",
"Cuba","CUB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.7785491943359","99.726936340332","99.6809387207031","99.6475067138672","99.6335830688477","99.6440124511719","99.6752014160156","99.7214813232422","99.7771453857422","99.8365249633789","99.8939208984375","99.9374618530273","99.9722747802734","99.9918060302734","99.9988327026367","100","100","100","99.9000015258789","100","","",
"Curacao","CUW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5024108886719","99.5690002441406","99.6350708007813","99.6979751586914","99.7545623779297","99.8016738891602","99.8361511230469","99.8548278808594","99.8545455932617","99.8338317871094","100","100","100","100","100","100","100","99.6075897216797","99.6634902954102","99.7287826538086","100","100","100","100","100","100","100","100","100","100","100","","",
"Cayman Islands","CYM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8430480957031","99.8984603881836","99.9473114013672","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Cyprus","CYP","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
